1
TRAINING,1,0.71,710.5,269.5,220.5,3.5,5.0,0.4,5.0,15.31
TRAINING,1,0.79,637.0,343.0,147.0,7.0,3.0,0.25,4.0,45.48
TRAINING,1,0.82,612.5,318.5,147.0,7.0,4.0,0.4,5.0,33.84
TRAINING,1,0.71,710.5,269.5,220.5,3.5,4.0,0.25,1.0,15.44
TRAINING,1,0.62,808.5,367.5,220.5,3.5,5.0,0.25,4.0,15.38
TRAINING,1,0.64,784.0,343.0,220.5,3.5,3.0,0.25,1.0,21.19
TRAINING,1,0.9,563.5,318.5,122.5,7.0,5.0,0.4,2.0,40.66
TRAINING,1,0.9,563.5,318.5,122.5,7.0,5.0,0.25,3.0,32.46
TRAINING,1,0.98,514.5,294.0,110.25,7.0,3.0,0.1,5.0,25.98
TRAINING,1,0.79,637.0,343.0,147.0,7.0,5.0,0.4,3.0,38.23
TRAINING,1,0.62,808.5,367.5,220.5,3.5,2.0,0.25,1.0,15.77
TRAINING,1,0.62,808.5,367.5,220.5,3.5,5.0,0.25,3.0,14.35
TRAINING,1,0.9,563.5,318.5,122.5,7.0,3.0,0.25,5.0,32.0
TRAINING,1,0.71,710.5,269.5,220.5,3.5,2.0,0.25,2.0,14.91
TRAINING,1,0.98,514.5,294.0,110.25,7.0,3.0,0.4,3.0,33.24
TRAINING,1,0.86,588.0,294.0,147.0,7.0,3.0,0.1,4.0,31.76
TRAINING,1,0.74,686.0,245.0,220.5,3.5,5.0,0.1,5.0,13.5
TRAINING,1,0.74,686.0,245.0,220.5,3.5,5.0,0.1,2.0,13.79
TRAINING,1,0.98,514.5,294.0,110.25,7.0,4.0,0.4,4.0,33.95
TRAINING,1,0.62,808.5,367.5,220.5,3.5,3.0,0.4,1.0,17.21
TRAINING,1,0.82,612.5,318.5,147.0,7.0,3.0,0.4,5.0,29.56
TRAINING,1,0.66,759.5,318.5,220.5,3.5,3.0,0.4,3.0,17.63
TRAINING,1,0.71,710.5,269.5,220.5,3.5,2.0,0.1,1.0,13.8
TRAINING,1,0.64,784.0,343.0,220.5,3.5,4.0,0.25,1.0,21.09
TRAINING,1,0.98,514.5,294.0,110.25,7.0,5.0,0.25,5.0,30.2
TRAINING,1,0.98,514.5,294.0,110.25,7.0,4.0,0.25,2.0,30.18
TRAINING,1,0.62,808.5,367.5,220.5,3.5,4.0,0.0,0.0,12.08
TRAINING,1,0.69,735.0,294.0,220.5,3.5,5.0,0.4,5.0,16.74
TRAINING,1,0.69,735.0,294.0,220.5,3.5,3.0,0.4,4.0,16.88
TRAINING,1,0.62,808.5,367.5,220.5,3.5,5.0,0.4,3.0,16.0
TRAINING,1,0.69,735.0,294.0,220.5,3.5,2.0,0.1,1.0,14.28
TRAINING,1,0.98,514.5,294.0,110.25,7.0,3.0,0.1,4.0,25.72
TRAINING,1,0.62,808.5,367.5,220.5,3.5,3.0,0.25,4.0,15.56
TRAINING,1,0.98,514.5,294.0,110.25,7.0,2.0,0.25,1.0,29.79
TRAINING,1,0.79,637.0,343.0,147.0,7.0,3.0,0.0,0.0,31.27
TRAINING,1,0.62,808.5,367.5,220.5,3.5,2.0,0.4,3.0,16.9
TRAINING,1,0.69,735.0,294.0,220.5,3.5,5.0,0.4,4.0,17.39
TRAINING,1,0.74,686.0,245.0,220.5,3.5,3.0,0.4,2.0,16.93
TRAINING,1,0.76,661.5,416.5,122.5,7.0,3.0,0.25,5.0,37.01
TRAINING,1,0.76,661.5,416.5,122.5,7.0,2.0,0.4,2.0,39.48
TRAINING,1,0.69,735.0,294.0,220.5,3.5,4.0,0.25,3.0,15.44
TRAINING,1,0.9,563.5,318.5,122.5,7.0,5.0,0.25,5.0,35.62
TRAINING,1,0.9,563.5,318.5,122.5,7.0,3.0,0.25,2.0,32.64
TRAINING,1,0.98,514.5,294.0,110.25,7.0,5.0,0.4,1.0,33.04
TRAINING,1,0.76,661.5,416.5,122.5,7.0,5.0,0.4,4.0,40.77
TRAINING,1,0.69,735.0,294.0,220.5,3.5,4.0,0.0,0.0,11.73
TRAINING,1,0.79,637.0,343.0,147.0,7.0,5.0,0.25,4.0,37.26
TRAINING,1,0.74,686.0,245.0,220.5,3.5,3.0,0.4,1.0,17.25
TRAINING,1,0.98,514.5,294.0,110.25,7.0,4.0,0.25,4.0,30.19
TRAINING,1,0.71,710.5,269.5,220.5,3.5,4.0,0.25,3.0,15.57
TRAINING,1,0.86,588.0,294.0,147.0,7.0,2.0,0.25,3.0,33.52
TRAINING,1,0.74,686.0,245.0,220.5,3.5,4.0,0.1,5.0,13.72
