4
TRAINING,3,200.0,12.3,0.1016,39.6,0.0408268,128.545
TRAINING,5,12500.0,1.5,0.3048,71.3,0.00336729,109.222
TRAINING,9,4000.0,0.0,0.0508,31.7,8.12164E-4,134.11
TRAINING,3,2000.0,15.6,0.1016,71.3,0.0437259,119.888
TRAINING,9,5000.0,0.0,0.1016,39.6,0.00146332,126.021
TRAINING,9,4000.0,15.4,0.0508,31.7,0.0289853,115.635
TRAINING,3,400.0,9.9,0.1524,71.3,0.0193001,135.079
TRAINING,5,16000.0,0.0,0.3048,71.3,0.00266337,108.721
TRAINING,3,315.0,22.2,0.0254,39.6,0.0229028,120.716
TRAINING,3,1250.0,7.3,0.2286,71.3,0.0104404,127.358
TRAINING,3,315.0,9.9,0.1524,71.3,0.0193001,135.459
TRAINING,3,800.0,9.5,0.0254,71.3,0.00420654,127.206
TRAINING,3,2000.0,0.0,0.1524,71.3,0.0015988,128.647
TRAINING,9,4000.0,15.6,0.1016,39.6,0.0528487,106.604
TRAINING,3,400.0,9.9,0.1524,39.6,0.0233328,128.345
TRAINING,3,1000.0,0.0,0.2286,39.6,0.00253511,130.435
TRAINING,5,10000.0,2.7,0.1524,71.3,0.00243851,116.724
TRAINING,3,400.0,15.4,0.0508,55.5,0.0271925,126.5
TRAINING,9,5000.0,4.0,0.3048,71.3,0.00497773,117.785
TRAINING,3,2000.0,7.3,0.2286,71.3,0.0104404,122.708
TRAINING,3,2000.0,17.4,0.0254,71.3,0.016104,126.826
TRAINING,3,630.0,17.4,0.0254,39.6,0.0172206,124.514
TRAINING,3,500.0,11.2,0.0508,71.3,0.014072,130.311
TRAINING,3,1000.0,12.3,0.1016,39.6,0.0408268,122.435
TRAINING,3,200.0,12.6,0.1524,39.6,0.0584113,114.75
TRAINING,9,5000.0,9.9,0.1524,31.7,0.0252785,109.949
TRAINING,3,400.0,12.7,0.0254,39.6,0.0130253,125.527
TRAINING,3,2000.0,0.0,0.3048,31.7,0.00331266,122.375
TRAINING,3,2500.0,0.0,0.2286,31.7,0.0027238,123.445
TRAINING,3,1000.0,12.7,0.0254,71.3,0.0121808,131.698
TRAINING,3,1600.0,12.3,0.1016,71.3,0.0337792,124.748
TRAINING,5,10000.0,0.0,0.0254,55.5,4.1229E-4,134.563
TRAINING,3,630.0,15.4,0.0508,55.5,0.0271925,129.33
TRAINING,3,1250.0,5.3,0.2286,39.6,0.00614329,125.721
