437319,2.34,7.67,84.64,5.3,3.17,11.86,25.57,12.29,12.83,437398,100,25592,75.66,0.75,43.45,26.59,6.9,15.46,32424,14478,15527,8075,8653,9400,8390,8147,62058,14.53,5.62,17.1,25.95,6.16,62.61,15.11,26.06,14.43,29.23,14.55,35.03,17.45,16.07,2.96,66.43,63.51,76.28,67.2,61.73,70.4,11790,3.97,33601,22.36,29.91,38.56,50.21,1.72,2.3,2.96,3.86,90.01,2.17,5,2.88,2.27,2.47,2.05,57.6,3.49,56.17,2,11100,94.4,52.98,5.5,30.54,1947,4.47,0.64,44500,59200,83300,38800,269,340,418,149,397,25.8,20.2,14.3,1553,149,7.68,47.82,46,76.24,85.35,769,167.68,684,149.14,325000,70864.3,422.6,167.7,91.4,92.46,3.12,1.95,1.69,6.76,37,9,130,129.1,3386.2,11.41,345,58562444,88.95,5,4.81,127691.9,1841.38
12703,2.55,0.78,96.92,0.24,0.57,13.58,25.71,12.63,14.19,0,0,21344,75.93,3.34,44.66,32.31,4.57,11.46,28959,10964,11156,4190,4626,3289,5094,6928,1453,12.07,13.43,20.81,20.51,2.18,65.21,19.68,30.76,15.59,24.31,8.66,28.93,8.92,8.8,3.05,77.28,77.56,85.09,78.69,77.04,82.87,194,1.91,103,4.85,4.85,9.71,27.18,0.04,0.04,0.08,0.22,94.79,0.58,3.71,2.35,2.36,2.68,1.87,69.08,1.35,51.94,2,242,95.36,61,0,38.43,1963,4.54,0.34,37500,49900,66600,29100,164,229,293,129,286,23.8,20.1,14.3,0,0,0.81,67.51,48.87,74.71,84.84,499.198250728863,246.490962099125,432.559766763848,210.844781341108,252404.988338192,120651.718892128,523.658309037901,246.493586005831,85.4996793002915,82.5158309037901,9.2632944606414,5.4597667638484,0.681282798833819,15.2422448979592,26.2886297376093,8.81632653061224,119.114285714286,7.7,1655.8,0,185.478134110787,32176019.3440233,87.1309329446064,4.28571428571429,0,153577.87122449,189.01
18196,2.84,0.41,97.15,2.04,1.87,11.49,19.99,9.83,11.89,18220,100,89395,84.97,1.27,74.04,22.23,1.72,15.83,101583,51795,52354,13636,25000,34769,50681,32938,346,1.91,1.85,6.27,59.34,3.31,63.72,13.81,21.4,3.32,48.67,4.27,24.44,7.14,5.78,3.14,90.55,89.92,97.08,89.13,34.85,46.14,53,0.42,1986,17.82,22.31,29.56,36.35,1.95,2.43,3.23,3.97,89.77,1.07,3.69,3.02,2.82,2.87,2.49,87.3,0.48,13.64,4,254,96.18,85.64,1.57,36.61,1950,0.09,0.33,329400,462500,500001,170601,699,1001,1001,302,1001,23.7,22,12,10,0,10.9,32.48,63.72,80.6,81.13,499.198250728863,246.490962099125,432.559766763848,210.844781341108,252404.988338192,120651.718892128,523.658309037901,246.493586005831,85.4996793002915,82.5158309037901,9.2632944606414,5.4597667638484,0.681282798833819,15.2422448979592,26.2886297376093,8.81632653061224,119.114285714286,13.3,1366.4,24.42,185.478134110787,32176019.3440233,87.1309329446064,4.28571428571429,0,153577.87122449,27.07
40153,2.97,2.44,95.6,1.07,1.59,16.23,27.89,12.44,5.35,40124,100,39904,89.04,0.45,45.76,13.38,3.32,10.03,42883,14793,14787,14485,13814,16919,13347,10698,1862,4.68,2.44,9.91,23.85,3.77,73.52,15.1,21.9,11.42,28.29,8.01,22.75,12.06,10.1,3.29,82.98,82.07,91.8,82.47,68.53,76.16,163,0.65,662,8.31,11.48,17.37,27.34,0.14,0.19,0.29,0.45,95.86,0.57,4.11,3.37,2.95,3.13,2.49,76.36,1.32,26.38,3,717,94.97,71.99,4.6,25.66,1978,0.9,0.18,62900,76700,96500,33600,325,396,469,144,507,23.6,20.1,11.8,0,0,1.65,63.45,42.38,79.32,86.06,499.198250728863,246.490962099125,432.559766763848,210.844781341108,252404.988338192,120651.718892128,523.658309037901,246.493586005831,85.4996793002915,82.5158309037901,9.2632944606414,5.4597667638484,0.681282798833819,15.2422448979592,26.2886297376093,8.81632653061224,119.114285714286,16.7,2408.4,0.6,185.478134110787,32176019.3440233,87.1309329446064,4.28571428571429,0,153577.87122449,213.14
43762,2.49,2.64,92.83,2.49,4.62,13.75,28.84,13.12,4.21,43762,100,42453,92.72,0.87,45.43,10.01,1.52,9.09,53532,19847,19999,16507,20025,21132,14666,13360,1545,3.56,1.76,7.02,34.29,3.53,78.3,15.5,17.72,6.46,33.98,11.04,26,14.9,13.03,3.07,82.09,81.72,90.77,82.5,65.07,73.33,288,1.12,1782,19.42,23.46,32.72,43.15,0.79,0.96,1.33,1.76,92.39,0.71,2.91,1.96,2.48,2.92,1.93,64.87,2.09,44.75,3,1262,93.3,54.96,0.08,10.54,1981,1.75,0,78700,95900,130500,51800,336,396,491,155,456,21.6,21.4,11.7,0,0,4.07,45.64,37.94,66.22,81.5,499.198250728863,246.490962099125,432.559766763848,210.844781341108,252404.988338192,120651.718892128,523.658309037901,246.493586005831,85.4996793002915,82.5158309037901,9.2632944606414,5.4597667638484,0.681282798833819,15.2422448979592,26.2886297376093,8.81632653061224,119.114285714286,10.4,4219.2,0.03,185.478134110787,32176019.3440233,87.1309329446064,4.28571428571429,0,153577.87122449,188.22
40822,2.7,25.14,67.1,1.15,15.94,15.24,26.94,12.93,10.48,40270,98.65,26144,78.25,0.64,30.37,25.88,6.68,16.27,30689,11794,13450,8125,11030,12073,8706,8838,6776,16.76,11.39,28.58,9.87,8.15,57.94,20.74,25.04,14.91,20.26,13.58,25.59,16.5,15.11,3.18,67.56,62.14,72.75,73.54,58.12,64.79,1119,3.4,1398,10.59,24.32,30.4,39.48,0.36,0.83,1.04,1.35,87,1.66,5.8,4.28,2.68,2.8,2.49,64.61,5.78,47.92,3,1566,90.61,61.89,11.05,51.92,1963,8.37,0.35,37000,50300,67800,30800,236,296,362,126,365,24.8,17.6,13.1,0,13,3.42,72.96,56.97,88.09,94.84,499.198250728863,246.490962099125,432.559766763848,210.844781341108,252404.988338192,120651.718892128,523.658309037901,246.493586005831,85.4996793002915,82.5158309037901,9.2632944606414,5.4597667638484,0.681282798833819,15.2422448979592,26.2886297376093,8.81632653061224,119.114285714286,64.3,634.4,0.09,185.478134110787,32176019.3440233,87.1309329446064,4.28571428571429,0,153577.87122449,690.29
152466,2.45,33.67,64.97,0.97,0.64,13.77,26.7,13.56,13.57,152488,100,22197,72.7,0.52,30.1,29.87,9.76,14.79,27487,12332,15070,7144,10194,11128,6065,12923,26803,18.18,12.71,31.04,18.24,6.9,56.09,18.02,23.37,17.19,24.71,13.36,30.6,16.68,15.18,2.99,59.57,52.66,65.52,61.86,60.61,66.87,8607,7.21,2574,18.3,23.39,34.42,43.28,0.31,0.39,0.58,0.73,96.49,0.45,4.27,2.78,2.37,2.52,2.19,57.71,2.85,56.42,2,7424,89.33,54.23,4.3,34.47,1961,7.15,0.37,37600,54100,75800,38200,177,271,361,184,360,25.7,19.5,13.7,150,2,1.69,63.33,53.12,84.4,88.15,371,239.91,323,208.87,148000,95705.5,398.9,239.9,82.49,82.48,16.71,0.54,0.27,17.52,26,8,61.5,122.7,1242.6,3.06,464,22161038,87.06,0,7.01,143306.41,1960.67
24725,2.26,22.64,76.02,0.56,2.51,10.24,20.5,10.01,24.55,24725,100,23695,63.48,0.9,41.48,46.16,6.38,24.07,30046,14154,16383,6642,8565,13839,13000,7586,3238,13.46,10.9,28.73,17.76,6.59,49.11,9.29,24.58,10.12,26.18,11.72,23.41,15.42,13.79,2.78,59.45,51.8,65.62,56.93,63.14,72.08,1088,4.71,978,11.55,16.97,29.45,35.28,0.46,0.67,1.16,1.4,93.86,0.63,4.12,2.56,2.2,2.29,2.09,59.41,3.75,65.15,2,1811,85.8,57.18,1.66,33.19,1971,8.08,0.55,46000,60700,82300,36300,221,311,406,185,380,28.7,21.7,11.4,27,3,3.96,38.21,46.5,77.55,83.09,499.198250728863,246.490962099125,432.559766763848,210.844781341108,252404.988338192,120651.718892128,523.658309037901,246.493586005831,85.4996793002915,82.5158309037901,9.2632944606414,5.4597667638484,0.681282798833819,15.2422448979592,26.2886297376093,8.81632653061224,119.114285714286,12.6,1957.3,0.49,185.478134110787,32176019.3440233,87.1309329446064,4.28571428571429,0,153577.87122449,1419.14
23163,2.49,0.29,98.16,1.15,0.71,13.2,27.45,13.1,14.12,23163,100,31877,77.86,0.54,48.74,30.19,5.98,20.41,37531,14885,14946,15923,17756,8286,2952,16698,1608,7.15,4.16,14.54,21.44,4.22,66.26,9.88,24.07,11.58,26.17,8.27,32.4,12.93,10.78,2.95,73.72,69.34,84.47,68.98,71.73,77.2,247,1.41,929,7.64,9.69,17.22,32.72,0.31,0.39,0.69,1.31,94.92,0.29,2.82,1.87,2.42,2.58,2.15,66.72,0.82,50.19,2,425,95.62,62.56,0.47,43.06,1949,0.84,0.43,85600,105600,126800,41200,357,458,565,208,531,26.5,22.2,13.8,6,0,4.01,71.64,57.54,83.13,90.07,499.198250728863,246.490962099125,432.559766763848,210.844781341108,252404.988338192,120651.718892128,523.658309037901,246.493586005831,85.4996793002915,82.5158309037901,9.2632944606414,5.4597667638484,0.681282798833819,15.2422448979592,26.2886297376093,8.81632653061224,119.114285714286,12.3,1877.8,2.42,185.478134110787,32176019.3440233,87.1309329446064,4.28571428571429,0,153577.87122449,154.77
13692,2.69,3.94,93.77,1.15,7.53,11.77,25.31,12.33,15.55,13692,100,37998,75.17,0.47,50.38,35.93,4.32,23.69,44353,16186,16666,9170,0,11422,4734,10125,925,6.76,20.43,35.42,13.1,5.74,61.83,25.81,15.39,21.45,18.49,5.74,32.28,7.92,6.87,3.14,80.96,78.58,84.43,88.53,46.44,59.99,120,1.28,2560,19.1,31.13,35.43,44.3,3.57,5.82,6.62,8.28,70.61,7.98,4.76,3.6,2.69,2.76,2.51,73.17,3.27,37.01,3,185,96.49,71.28,3.24,43.24,1950,0.87,0.53,113500,142100,167600,54100,462,578,649,187,611,27.4,21.9,16.2,4,0,18.7,63.72,68.56,86.31,90.87,499.198250728863,246.490962099125,432.559766763848,210.844781341108,252404.988338192,120651.718892128,523.658309037901,246.493586005831,85.4996793002915,82.5158309037901,9.2632944606414,5.4597667638484,0.681282798833819,15.2422448979592,26.2886297376093,8.81632653061224,119.114285714286,2.9,4687.1,3.4,185.478134110787,32176019.3440233,87.1309329446064,4.28571428571429,0,153577.87122449,272.83
