200,12.3,0.1016,39.6,0.0408268,128.545
4000,0,0.0508,31.7,0.000812164,134.11
2000,15.6,0.1016,71.3,0.0437259,119.888
5000,0,0.1016,39.6,0.00146332,126.021
4000,15.4,0.0508,31.7,0.0289853,115.635
400,9.9,0.1524,71.3,0.0193001,135.079
16000,0,0.3048,71.3,0.00266337,108.721
315,22.2,0.0254,39.6,0.0229028,120.716
1250,7.3,0.2286,71.3,0.0104404,127.358
315,9.9,0.1524,71.3,0.0193001,135.459
800,9.5,0.0254,71.3,0.00420654,127.206
4000,15.6,0.1016,39.6,0.0528487,106.604
400,9.9,0.1524,39.6,0.0233328,128.345
1000,0,0.2286,39.6,0.00253511,130.435
10000,2.7,0.1524,71.3,0.00243851,116.724
5000,4,0.3048,71.3,0.00497773,117.785
2000,7.3,0.2286,71.3,0.0104404,122.708
2000,17.4,0.0254,71.3,0.016104,126.826
630,17.4,0.0254,39.6,0.0172206,124.514
500,11.2,0.0508,71.3,0.014072,130.311
1000,12.3,0.1016,39.6,0.0408268,122.435
200,12.6,0.1524,39.6,0.0584113,114.75
5000,9.9,0.1524,31.7,0.0252785,109.949
400,12.7,0.0254,39.6,0.0130253,125.527
2000,0,0.3048,31.7,0.00331266,122.375
2500,0,0.2286,31.7,0.0027238,123.445
1000,12.7,0.0254,71.3,0.0121808,131.698
1600,12.3,0.1016,71.3,0.0337792,124.748
10000,0,0.0254,55.5,0.00041229,134.563
630,15.4,0.0508,55.5,0.0271925,129.33
1250,5.3,0.2286,39.6,0.00614329,125.721
1600,4.2,0.0508,39.6,0.00152689,130.197
800,7.3,0.2286,39.6,0.0123481,126.299
630,0,0.2286,39.6,0.00253511,128.705
1000,15.6,0.1016,71.3,0.0437259,124.438
250,12.7,0.0254,39.6,0.0130253,121.547
1600,8.4,0.0508,31.7,0.00580776,129.296
2000,3,0.3048,71.3,0.00425727,125.524
1000,7.3,0.2286,55.5,0.0111706,125.194
800,6.7,0.1016,39.6,0.00578076,134.625
6300,4.8,0.0254,71.3,0.000848633,134.498
630,0,0.1016,71.3,0.00121072,124.155
1000,0,0.1524,31.7,0.00209405,130.987
1000,2,0.2286,31.7,0.00372371,130.307
5000,2.7,0.1524,71.3,0.00243851,124.364
2500,9.5,0.0254,31.7,0.00461377,130.086
1000,12.3,0.1016,71.3,0.0337792,127.928
500,0,0.3048,31.7,0.00331266,127.315
3150,1.5,0.3048,71.3,0.00336729,123.392
8000,0,0.0254,55.5,0.00041229,136.163
1000,3.3,0.1016,39.6,0.00245138,131.971
1250,7.3,0.2286,55.5,0.0111706,125.724
630,0,0.3048,55.5,0.00283081,127.696
2500,0,0.1016,31.7,0.00150092,132.003
2000,3.3,0.1016,55.5,0.002211,133.649
4000,4,0.2286,39.6,0.00473801,119.159
5000,2,0.2286,31.7,0.00372371,118.267
