362.6,189,0,164.9,11.6,944.7,755.8,91,79.3
249.1,0,98.8,158.1,12.8,987.8,889,3,15.36
313,161,0,178,10,917,759,28,52.44
143.6,0,174.9,158.4,17.9,942.7,844.5,28,15.42
380,95,0,228,0,932,594,270,41.15
322,0,0,203,0,974,800,28,25.18
424,22,132,178,8.5,822,750,56,65.7
314,0,113,170,10,925,783,28,38.46
314,145,113,179,8,869,690,28,46.23
157,236,0,192,0,935.4,781.2,90,43.38
491,26,123,201,3.9,822,699,7,37.92
480,0,0,192,0,936.2,712.2,90,54.32
427.5,47.5,0,228,0,932,594,7,35.08
213.5,0,174.2,154.6,11.7,1052.3,775.5,28,45.94
212.5,0,100.4,159.3,8.7,1007.8,903.6,28,31.64
173.5,50.1,173.5,164.8,6.5,1006.2,793.5,100,56.06
374,189.2,0,170.1,10.1,926.1,756.7,7,46.2
157,214,152,200,9,819,704,28,33.05
143,169.4,142.7,190.7,8.4,967.4,643.5,28,29.73
375,93.8,0,126.6,23.4,852.1,992.6,28,56.7
520,0,0,175,5.2,870,805,28,51.02
310,0,0,192,0,970,850,90,34.68
250,0,95.7,187.4,5.5,956.9,861.2,56,38.33
500,0,0,200,0,1125,613,180,51.04
246.8,0,125.1,143.3,12,1086.8,800.9,3,23.52
330.5,169.6,0,194.9,8.1,811,802.3,28,56.62
149,236,0,176,13,847,893,28,32.96
405,0,0,175,0,1120,695,28,52.3
252,0,0,185,0,1111,784,28,19.69
475,0,59,142,1.9,1098,641,28,57.23
144,0,175,158,18,943,844,28,15.42
469,117.2,0,137.8,32.2,852.1,840.5,56,69.3
213.8,98.1,24.5,181.7,6.7,1066,785.5,3,13.18
155,0,143,193,9,877,868,28,9.74
212,0,124.8,159,7.8,1085.4,799.5,100,47.82
302,0,0,203,0,974,817,180,26.74
167,75.4,167,164,7.9,1007.3,770.1,28,41.41
275.1,0,121.4,159.5,9.9,1053.6,777.5,100,58.61
236,0,0,194,0,968,885,14,12.84
225,0,0,181,0,1113,833,7,11.17
288,192,0,192,0,932,717.8,90,50.53
376,0,0,214.6,0,1003.5,762.4,3,16.28
342,38,0,228,0,932,670,270,55.06
401.8,94.7,0,147.4,11.4,946.8,852.1,91,75.5
362.6,189,0,164.9,11.6,944.7,755.8,3,35.3
160,250,0,168,12,1049,688,28,39.45
450.1,50,0,200,3,1124.4,613.2,28,39.38
528,0,0,185,6.9,920,720,28,56.83
475,0,0,162,9.5,1044,662,28,58.52
297.2,0,117.5,174.8,9.5,1022.8,753.5,56,51.96
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,56,61.99
246.8,0,125.1,143.3,12,1086.8,800.9,28,52.5
288,192,0,192,0,932,717.8,3,16.11
307,0,0,193,0,968,812,365,36.15
153,145,0,178,8,1000,822,28,19.01
385,0,136,158,20,903,768,28,55.55
228,342.1,0,185.7,0,955.8,674.3,7,21.92
310,0,0,192,0,1012,830,3,11.85
425,106.3,0,153.5,16.5,852.1,887.1,3,33.4
139.9,132.6,103.3,200.3,7.4,916,753.4,28,36.44
397,0,0,185.7,0,1040.6,734.3,28,33.08
355.9,0,141.6,193.3,11,801.4,778.4,28,40.87
252,97,76,194,8,835,821,28,33.4
255,0,0,192,0,889.8,945,7,10.22
190.3,0,125.2,161.9,9.9,1088.1,802.6,56,38.56
251.4,0,118.3,192.9,5.8,1043.6,754.3,56,39.27
164.6,0,150.4,181.6,11.7,1023.3,728.9,28,18.03
446,24,79,162,11.6,967,712,28,44.42
382,0,0,186,0,1047,739,28,37.42
238.1,0,94.1,186.7,7,949.9,847,14,25.69
200,0,0,180,0,1125,845,7,7.84
236,0,0,193,0,968,885,180,24.1
212.1,0,121.6,180.3,5.7,1057.6,779.3,28,24.9
150.9,0,183.9,166.6,11.6,991.2,772.2,28,15.57
284,15,141,179,5.5,842,801,3,13.4
307,0,0,193,0,968,812,3,12.54
145,116,119,184,5.7,833,880,28,29.16
425,106.3,0,151.4,18.6,936,803.7,3,36.3
397,0,0,185,0,1040,734,28,39.09
173,116,0,192,0,946.8,856.8,28,24.28
334,17.6,158,189,15.3,967,633,28,44.33
339,0,0,197,0,968,781,90,35.17
172.4,13.6,172.4,156.8,4.1,1006.3,856.4,28,33.69
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,100,48.15
427.5,47.5,0,228,0,932,594,365,43.7
331,0,0,192,0,1025,821,90,37.91
525,0,0,189,0,1125,613,270,67.11
520,0,0,170,5.2,855,855,28,60.28
425,106.3,0,151.4,18.6,936,803.7,56,64.9
154.8,0,142.8,193.3,9.1,1047.4,696.7,28,12.46
167.4,129.9,128.6,175.5,7.8,1006.3,746.6,14,31.81
425,106.3,0,153.5,16.5,852.1,887.1,3,33.4
425,106.3,0,153.5,16.5,852.1,887.1,56,64.3
266,114,0,228,0,932,670,365,52.91
349,0,0,192,0,1047,806,180,41.05
212.6,0,100.4,159.4,10.4,1003.8,903.8,28,37.4
310,143,111,168,22,914,651,28,33.69
266,114,0,228,0,932,670,28,45.85
222.4,0,96.7,189.3,4.5,967.1,870.3,14,24.45
331,0,0,192,0,978,825,90,37.23
133.1,210.2,0,195.7,3.1,949.4,795.3,28,28.94
116,173,0,192,0,909.8,891.9,90,31.02
313.3,262.2,0,175.5,8.6,1046.9,611.8,7,42.8
307,0,0,193,0,968,812,180,34.49
230,0,118.3,195.5,4.6,1029.4,758.6,14,20.08
387,20,94,157,11.6,938,845,7,41.67
151.6,0,111.9,184.4,7.9,992,815.9,28,12.18
305.3,203.5,0,203.5,0,965.4,631,28,43.38
200,0,0,180,0,1125,845,28,12.25
220.8,147.2,0,185.7,0,1055,744.3,7,13.09
250,0,95.7,187.4,5.5,956.9,861.2,100,42.35
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,3,27.42
218.9,0,124.1,158.5,11.3,1078.7,794.9,28,30.22
236,0,0,194,0,968,885,28,18.42
133,210,0,196,3,949,795,28,31.03
153.1,145,113,178.5,8,867.2,824,28,26.23
381.4,0,0,185.7,0,1104.6,784.3,7,14.54
385,0,0,186,0,966,763,3,14.7
