1
TRAINING,1,-2.2,0.546,4.78,4.13,3.07,0.35,7.37
TRAINING,1,-2.3,0.53,4.34,2.81,3.15,0.375,13.96
TRAINING,1,-2.4,0.574,4.36,3.96,2.76,0.425,33.97
TRAINING,1,0.0,0.565,5.1,3.94,3.51,0.425,35.46
TRAINING,1,-2.3,0.6,5.1,4.17,3.51,0.15,0.16
TRAINING,1,-2.4,0.585,4.78,3.84,3.32,0.275,2.91
TRAINING,1,-5.0,0.53,4.78,3.75,3.15,0.425,37.14
TRAINING,1,-2.3,0.565,4.78,5.35,2.76,0.25,1.99
TRAINING,1,0.0,0.565,5.1,3.94,3.51,0.125,0.08
TRAINING,1,-2.2,0.546,4.78,4.13,3.07,0.225,1.24
TRAINING,1,-2.3,0.569,4.78,3.04,3.64,0.3,3.29
TRAINING,1,-2.4,0.568,4.34,2.98,3.15,0.4,20.63
TRAINING,1,-2.3,0.569,4.78,3.04,3.64,0.175,0.37
TRAINING,1,-2.3,0.53,4.34,2.81,3.15,0.275,2.05
TRAINING,1,-5.0,0.6,4.78,4.24,3.15,0.25,1.85
TRAINING,1,-2.3,0.562,5.14,4.95,3.17,0.25,2.23
TRAINING,1,0.0,0.53,4.78,3.75,3.15,0.4,27.34
TRAINING,1,-2.3,0.562,5.14,4.95,3.17,0.3,4.09
TRAINING,1,-2.3,0.53,5.11,3.69,3.51,0.25,1.57
TRAINING,1,0.0,0.6,4.78,4.24,3.15,0.15,0.18
TRAINING,1,-2.4,0.585,4.78,3.84,3.32,0.3,4.35
TRAINING,1,-2.3,0.565,4.78,5.35,2.76,0.375,13.08
TRAINING,1,-2.4,0.574,4.36,3.96,2.76,0.25,1.97
TRAINING,1,0.0,0.53,4.78,3.75,3.15,0.2,0.92
TRAINING,1,-2.3,0.53,4.34,2.81,3.15,0.175,0.35
TRAINING,1,-2.3,0.53,4.76,3.68,3.16,0.35,7.51
TRAINING,1,-2.3,0.568,4.78,3.99,3.17,0.25,1.82
TRAINING,1,0.0,0.565,5.1,3.94,3.51,0.325,5.57
TRAINING,1,-2.3,0.6,5.1,4.17,3.51,0.225,1.24
TRAINING,1,-2.3,0.562,5.14,4.95,3.17,0.275,3.09
